"Model","stimulus","MOS","VP1","VP2","VP3","VP4","TotalPatches"
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp10_qt7_decompJPEG_2048x2048_Q75",0.443181818181817,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp10_qt8_decompJPEG_512x512_Q10",0.288461538461538,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp11_qt6_decompJPEG_1440x1440_Q25",0.636904761904763,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp9_qt6_decompJPEG_512x512_Q75",0.540697674418605,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp9_qt7_decompJPEG_1440x1440_Q10",0.494318181818183,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp10_qt6_decompJPEG_512x512_Q10",0.953488372093023,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp10_qt9_decompJPEG_2048x2048_Q90",0.964285714285715,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp11_qt10_decompJPEG_1024x1024_Q25",0.936046511627908,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp11_qt6_decompJPEG_512x512_Q10",0.9875,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp11_qt9_decompJPEG_1440x1440_Q75",0.964285714285715,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp8_qt8_decompJPEG_1440x1440_Q50",0.976744186046512,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp10_qt10_decompJPEG_512x512_Q50",0.24375,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp11_qt10_decompJPEG_512x512_Q50",0.172619047619047,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp8_qt7_decompJPEG_512x512_Q90",0.648809523809525,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp8_qt8_decompJPEG_712x712_Q10",0.616279069767443,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp10_qt6_decompJPEG_2048x2048_Q25",0.613095238095237,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp10_qt7_decompJPEG_2048x2048_Q50",0.446428571428573,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp10_qt7_decompJPEG_512x512_Q50",0.371951219512195,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp11_qt10_decompJPEG_512x512_Q50",0.23170731707317,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp11_qt7_decompJPEG_1024x1024_Q50",0.420454545454545,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp9_qt6_decompJPEG_1024x1024_Q25",0.58139534883721,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL4_qp8_qt7_decompJPEG_2048x2048_Q50",0.777777777777777,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL4_qp8_qt8_decompJPEG_712x712_Q25",0.69047619047619,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL4_qp9_qt6_decompJPEG_512x512_Q75",0.63095238095238,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp10_qt10_decompJPEG_512x512_Q50",0.345238095238095,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp11_qt10_decompJPEG_512x512_Q50",0.307692307692307,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp11_qt10_decompJPEG_512x512_Q75",0.302631578947367,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp11_qt7_decompJPEG_1024x1024_Q50",0.445121951219512,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp8_qt9_decompJPEG_712x712_Q90",0.568181818181817,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp10_qt10_decompJPEG_512x512_Q75",0.34090909090909,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp10_qt10_decompJPEG_512x512_Q90",0.345238095238095,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp11_qt10_decompJPEG_512x512_Q25",0.431818181818183,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp11_qt10_decompJPEG_512x512_Q50",0.386904761904763,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp11_qt10_decompJPEG_512x512_Q75",0.296511627906977,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp11_qt10_decompJPEG_512x512_Q90",0.275,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL7_qp10_qt10_decompJPEG_512x512_Q75",0.383333333333333,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL7_qp11_qt10_decompJPEG_512x512_Q75",0.36111111111111,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL7_qp8_qt8_decompJPEG_2048x2048_Q50",0.616279069767443,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL7_qp9_qt6_decompJPEG_512x512_Q75",0.75,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp10_qt9_decompJPEG_512x512_Q90",0.431818181818183,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp11_qt8_decompJPEG_2048x2048_Q75",0.4375,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp8_qt10_decompJPEG_512x512_Q50",0.71951219512195,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp8_qt7_decompJPEG_712x712_Q75",0.767045454545455,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp9_qt8_decompJPEG_1024x1024_Q75",0.452380952380953,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt6_decompJPEG_1024x1024_Q75",0.86046511627907,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt6_decompJPEG_512x512_Q10",0.883720930232557,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt7_decompJPEG_2048x2048_Q10",0.683333333333332,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt7_decompJPEG_2048x2048_Q25",0.607142857142858,72,48,64,55,239
"170516_mia337_032122_600_200Kfaces_8192px_OBJ","170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt7_decompJPEG_2048x2048_Q50",0.656976744186047,72,48,64,55,239
